,id,guests,bedrooms,beds,baths,cleaning_fee,service_fee,amenities,superhost,lat_lon,narrative,rules,price
180,22850984,2 guests,studio,2 beds,1 bath,$56,$52,Show all 22 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.51647127193841&2d139.65852724280046&2m2&1d35.592235833556224&2d139.81494440226948&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._hq5hwm&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=74212,"Whether you’re on a business trip or on holiday, finding affordable luxury accommodation is a challenge in Tokyo.
By focusing on the essentials, we provide the best a hotel has to offer at a fraction of the price:
- Wide (110cm) comfy Twin beds (which can be stuck together according to the request in advance.)
- The fastest Wi-Fi in Japan
- Hotel-like bathroom
- Flat-screen TV with Netflix.
- A Washer & Dryer in the Bathroom
- A kitchenette fitted with a microwave and a kettle
- A fridge
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets - The property is not totally barrier free. There are potential risks for children.
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 10AM
Self check-in with keypad
Read all rules",$58
181,9847034,4 guests,studio,4 beds,1 bath,$28,$46,Show all 24 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.23755680698892&2d139.0740627682294&2m2&1d35.31358438640266&2d139.22857042961869&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._4bf3bx&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=105194,"Welcome to ""Hotel Florence""
We have futons (Japanese-style beds) in Japanese tatami room which are perfect for families, friends and couples.
Our room makes feel like you are home!
We are located in a quiet residential area!
*This hotel has permission of simple accommodation.*
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in time is 3PM - 8PM and check out by 10AM
Self check-in with lockbox
Read all rules",$55
182,25195210,3 guests,studio,2 beds,1 bath,$56,$52,Show all 22 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.5096669206649&2d139.62866413201425&2m2&1d35.58543782337282&2d139.78509438276615&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._8w5x6e&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=22042,"Whether you’re on a business trip or on holiday, finding affordable luxury accommodation is a challenge in Tokyo. By focusing on the essentials, we provide the best a hotel has to offer at a fraction of the price.
- Wide (110cm) comfy Twin beds
- A sofa bed for the third person to sleep
- The fastest Wi-Fi in Japan
- Hotel-like bathroom (Private)
- Flat-screen TV with Netflix.
- A Washer & Dryer in the Bathroom (Private)
- A microwave and a kettle
- A fridge
- A Washlet type toilet (Private)
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets - The property is not totally barrier free. There are potential risks for children.
No smoking, parties, or events
Check-in time is 4PM - 2AM (next day) and check out by 10AM
Self check-in with keypad
Read all rules",$57
183,20792660,2 guests,studio,2 beds,1 bath,$56,$52,Show all 23 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.511353813527975&2d139.67212565724117&2m2&1d35.58712310034878&2d139.82610840142536&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._18enpn&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=16708,"Whether you’re on a business trip or on holiday, finding affordable luxury accommodation is a challenge in Tokyo.
By focusing on the essentials, we provide the best a hotel has to offer at a fraction of the price:
- Wide (110cm) comfy Twin beds
- The fastest Wi-Fi in Japan
- Hotel-like bathroom
- Flat-screen TV with Netflix.
You’ll be happy to know that each unit also has:
- A Washer & Dryer in the Bathroom
- A kitchenette fitted with a microwave and a kettle
- A fridge
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 10AM
Self check-in with keypad
Read all rules",$58
184,25174916,2 guests,studio,2 beds,1 bath,$56,$48,Show all 22 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.50974220384583&2d139.62896015534807&2m2&1d35.58551326719379&2d139.78294650989392&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._idjvpe&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=103850,"Whether you’re on a business trip or on holiday, finding affordable luxury accommodation is a challenge in Tokyo.
By focusing on the essentials, we provide the best a hotel has to offer at a fraction of the price.
- Wide (110cm) comfy Twin beds (which can be stuck together according to the request in advance)
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets - The property is not totally barrier free. There are potential risks for children.
No smoking, parties, or events
Check-in time is 4PM - 2AM (next day) and check out by 10AM
Self check-in with keypad
Read all rules",$53
185,19554793,3 guests,1 bedroom,2 beds,1 bath,$47,$58,Show all 20 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.685329027862984&2d139.71713568536188&2m2&1d35.76093353851523&2d139.873222417031&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._f7e4ba&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=40866,"Translate this description to English
This is a suitable for couples, family, friends, backpackers, lone stars to stay in the universal space, is an independent four-storey building. The rooms are on the second floor, separate suites, newly renovated, warm and comfortable, table sofa, fully furnished, daily necessities, wireless high speed portable Wi-Fi, room with dedicated kitchen and bathroom, you can cook without your own Share the bathroom with others. A double bed a single sofa bed daily necessities bath towel, facial towel, bath towel, toothpaste toothbrush, head comb, razor, paper towel household appliances refrigerator, microwave oven, kettle, washing machine, vacuum cleaner, hair dryer bathroom shampoo, Conditioner, shower gel, Surrounding restaurants, convenience stores, supermarkets, 24-hour shopping malls, shopping convenience. 15 minutes walk to the popular tourist spots, Asakusa Temple, Raymond with 3 bicycles (free of charge) Subway three stations available (three の round, into the valley, Asakusa (Tsukuba Express)) 10 to 15 minutes walk from the subway (by car) Ueno 4 minutes Akihabara 8 minutes Tokyo 12 minutes building land 16 minutes Ginza 19 minutes Shinjuku 25 minutes second floor and third floor There are five sets of rooms, can accommodate 20 people in space, the rooms are equipped with kitchen bathroom. Accept group bookings. Living on the fourth floor, there is a need to contact at any time, very happy to help you.
这是一个适合情侣,家人,朋友,背包客,独行侠入住的万能空间,是一栋独立的四层楼房｡
房间在二楼,独立的套房,全新装修,温馨舒适,桌子沙发,家电齐全,提供日常生活用品,无线高速便携式Wi-Fi,房间里有专用的厨房和浴室卫生间,您可以自行烹饪,也无需与他人共用卫浴｡
一张双人床
一张单人沙发床
日常生活用品
浴巾,面巾,沐浴巾,牙膏牙刷,头梳,刮胡刀,纸巾
家用电器
冰箱,微波炉,热水壶,洗衣机,吸尘器,电吹风
浴室
洗发水,护发素,沐浴露,
周围餐馆,便利店,超市,24小时营业的商场,购物方便｡
步行15分钟到繁华人气的观光点,浅草寺,雷门
备有3台自行车 (免费)
地铁三个站可利用(三の輪､入谷､浅草(筑波快线) )
步行10~15分钟
地铁(车程)
上野 4分
秋叶原 8分
東京 12分
築地 16分
銀座 19分
新宿 25分
二楼和三楼共有五套房间,可容纳20人的空间,房间内都各自配有厨房卫浴｡接受团体预定｡
四楼自住,有需要随时联系,十分乐意帮助您｡
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 12PM (noon)
Self check-in with lockbox
Read all rules",$67
186,14002374,2 guests,1 bedroom,1 bed,1 bath,$47,$44,Show all 20 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.66500728156326&2d139.910749837175&2m2&1d35.74063075801528&2d140.0668757240436&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._4263wf&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=23468,"This is the best place for travellers and business man sticking around Tokyo. There's direct train from NRT airport and you can also go to Tokyo by the same one, takes only 25min. Around Funabashi station there are tons of bars and Izakaya, cozy restaurants...
It is also pretty close to Makuhari Messe and these bay area.
You have a great view from 6th floor which allows you to seat on the best place for the fireworks festival on july.
License or registration number
M120004145
Learn about this number
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 12PM (noon)
Self check-in with keypad",$50
187,25195077,3 guests,studio,2 beds,1 bath,$56,$51,Show all 23 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.511305095364804&2d139.6303831982931&2m2&1d35.587074278237424&2d139.78680989841723&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._94lem&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=99986,"Whether you’re on a business trip or on holiday, finding affordable luxury accommodation is a challenge in Tokyo. By focusing on the essentials, we provide the best a hotel has to offer at a fraction of the price.
- Wide (110cm) comfy Twin beds
- A sofa bed for the third person to sleep
- The fastest Wi-Fi in Japan
- Hotel-like bathroom (Private)
- Flat-screen TV with Netflix.
- A Washer & Dryer in the Bathroom (Private)
- A microwave and a kettle
- A fridge
- A Washlet type toilet (Private)
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets - The property is not totally barrier free. There are potential risks for children.
No smoking, parties, or events
Check-in time is 4PM - 2AM (next day) and check out by 10AM
Self check-in with keypad
Read all rules",$57
188,17999377,3 guests,1 bedroom,1 bed,1 bath,$19,$49,Show all 21 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.72907033078098&2d140.22282909802414&2m2&1d35.80463324388333&2d140.37882995088057&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._whuun8&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=68805,"Auto lock apartment there from Narita Airport in about 25 minutes
This room can accommodate up to 3 people in one bedroom located about 25 minutes from Narita Airport.
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in time is 3PM - 2AM (next day) and check out by 11AM
Self check-in with keypad
Read all rules",$61
189,22852073,2 guests,studio,2 beds,1 bath,$56,$52,Show all 22 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.51647127193841&2d139.65852724280046&2m2&1d35.592235833556224&2d139.81494440226948&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._hq5hwm&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=74212,"Whether you’re on a business trip or on holiday, finding affordable luxury accommodation is a challenge in Tokyo.
By focusing on the essentials, we provide the best a hotel has to offer at a fraction of the price:
- Wide (110cm) comfy Twin beds (which can be stuck together according to the request in advance.)
- The fastest Wi-Fi in Japan
- Hotel-like bathroom
- Flat-screen TV with Netflix.
- A Washer & Dryer in the Bathroom
- A kitchenette fitted with a microwave and a kettle
- A fridge
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets - The property is not totally barrier free. There are potential risks for children.
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 10AM
Self check-in with keypad
Read all rules",$58
190,22851317,2 guests,studio,2 beds,1 bath,$56,$52,Show all 22 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.51647127193841&2d139.65852724280046&2m2&1d35.592235833556224&2d139.81494440226948&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._hq5hwm&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=74212,"Whether you’re on a business trip or on holiday, finding affordable luxury accommodation is a challenge in Tokyo.
By focusing on the essentials, we provide the best a hotel has to offer at a fraction of the price:
- Wide (110cm) comfy Twin beds (which can be stuck together according to the request in advance.)
- The fastest Wi-Fi in Japan
- Hotel-like bathroom
- Flat-screen TV with Netflix.
- A Washer & Dryer in the Bathroom
- A kitchenette fitted with a microwave and a kettle
- A fridge
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets - The property is not totally barrier free. There are potential risks for children.
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 10AM
Self check-in with keypad
Read all rules",$58
191,37072869,2 guests,1 bedroom,1 bed,1 bath,$23,$54,Show all 8 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.69507264130024&2d139.62972123519967&2m2&1d35.77066679705105&2d139.78578658900778&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._gs5nzn&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=37444,"Translate this description to English
New renovated (Nov.2018) room with 1 double bed in the west Ikebukuro area. Only 7-8 mins walk from JR Ikebukuro Sta West Exit. Very convenient access to all Tokyo. With private bath room and toilet.
New renovated (Nov.2018) room with 1 double bed in the west Ikebukuro area. Only 7-8 mins walk from JR Ikebukuro Sta West Exit. Very convenient access to all Tokyo. With private bath room and toilet.
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in time is 3PM - 2AM (next day) and check out by 11AM
Read all rules",$66
192,35721003,6 guests,3 bedrooms,6 beds,1 bath,0,$36,Show all 16 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.57721006210251&2d139.1340480270527&2m2&1d35.652916645842566&2d139.28790334239545&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._roj217&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=114976,"Translate this description to English
It is an old private house over 100 years old. A house in the countryside.
築100年以上の古民家です｡田舎の一軒家です｡
License or registration number
M140016512
Learn about this number
Contact host","House rules
Not safe or suitable for children (0-12) and pets - 割れやすい窓ガラスがあるため。
No smoking
Check-in is anytime after 3PM",$47
193,20790647,3 guests,studio,2 beds,1 bath,$56,$52,Show all 22 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.511353813527975&2d139.67212565724117&2m2&1d35.58712310034878&2d139.82610840142536&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._18enpn&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=16708,"Whether you’re on a business trip or on holiday, finding affordable luxury accommodation is a challenge in Tokyo.
By focusing on the essentials, we provide the best a hotel has to offer at a fraction of the price:
- Wide (110cm) comfy Twin beds
- a sofa bed for the third person (child use) to sleep
- The fastest Wi-Fi in Japan
- Hotel-like bathroom
- Flat-screen TV with Netflix.
- A Washer & Dryer in the Bathroom
- A kitchenette fitted with a microwave and a kettle
- A fridge
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 10AM
Self check-in with keypad
Read all rules",$58
194,34424240,2 guests,1 bedroom,1 bed,1 bath,$23,$54,Show all 9 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.69515332212498&2d139.63003683733268&2m2&1d35.77074764873967&2d139.78610254389207&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._l4dw6g&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=2652,"New renovated (Nov.2018) room with a double or semi-double size bed for up to 2 guests in the west Ikebukuro area. Only 7-8 mins walk from JR Ikebukuro station West Exit. Very convenient access to all Tokyo. With private bath room and toilet.★The details of the room you use (floor number and room number) will be determined when you check in. Please understand that the layout of each room is slightly different in each room.
Read more about the space
Contact host","House rules
Not safe or suitable for infants (under 2 years) and pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Read all rules",$66
195,23566495,5 guests,1 bedroom,1 bed,1 bath,$23,$59,Show all 26 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d36.312086446203125&2d140.3754418600622&2m2&1d36.38709142220475&2d140.5327103581301&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._ii3vz1&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=63353,"子安神社前ﾊﾞｽ停
License or registration number
M080005454
Learn about this number
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 12PM (noon)
Self check-in with lockbox",$72
196,38372964,6 guests,3 bedrooms,6 beds,1 bath,$47,$42,Show all 13 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.9753685061748&2d139.7657038661373&2m2&1d36.050696869814885&2d139.92122048784586&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._crke1r&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=76339,"This house is located a bit far from tokyo
It takes about 90-120min to tokyo by train
about 5km from the nearest station
the station is Kawama on tobu urbanpark line
so I will help you when you check-in and check-out
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in time is 3PM - 10PM and check out by 12PM (noon)
Read all rules",$47
197,25037563,2 guests,studio,2 beds,1 bath,$56,$51,Show all 23 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.521538794995955&2d139.6545121733776&2m2&1d35.59729852686007&2d139.8109193617422&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._7n0la2&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=101748,"Whether you’re on a business trip or on holiday, finding affordable luxury accommodation is a challenge in Tokyo.
By focusing on the essentials, we provide the best a hotel has to offer at a fraction of the price.
- Wide (110cm) comfy Twin beds (which can be stuck together according to the request in advance)
- The fastest Wi-Fi in Japan
- Hotel-like bathroom
- Flat-screen TV with Netflix.
- A Washer & Dryer in the Bathroom
- A microwave and a kettle
- A fridge
- A Washlet type toilet
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets - The property is not totally barrier free. There are potential risks for children.
No smoking, parties, or events
Check-in time is 4PM - 2AM (next day) and check out by 10AM
Self check-in with keypad
Read all rules",$57
198,15347153,5 guests,1 bedroom,5 beds,1 bath,$28,$62,Show all 31 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.722544360783914&2d139.61142610116394&2m2&1d35.79811409431635&2d139.7674410349083&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._9hw07j&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=10541,"The hotel is 50 meters from the station
Within a 3-minute walk from the hote
lJapanese and Western restaurants, cafes, barbecue restaurants, supermarkets, convenience stores, pharmacies * (Matsumoto clear), shopping malls, dry cleaners, banks
It is 50 meters from Tokiwadai Station
Ikebukuro Station is an 8-minute drive away
Ikebukuro Station is an 18-minute drive away
Wi-Fi is available in the room
Room can cook Utensils complete
Water and electricity are free to use.
24 hour hot water supply
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Self check-in with lockbox
Read all rules",$75
199,21520808,2 guests,studio,2 beds,1 bath,$56,$51,Show all 22 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.53025984148546&2d139.6212143440822&2m2&1d35.60601211487515&2d139.77516251258385&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._cx5zdg&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=46641,"Whether you’re on a business trip or on holiday, finding affordable luxury accommodation is a challenge in Tokyo.
By focusing on the essentials, we provide the best a hotel has to offer at a fraction of the price:
- Wide (110cm) comfy Twin beds
- The fastest Wi-Fi in Japan
- Hotel-like bathroom
- Flat-screen TV with Netflix.
You’ll be happy to know that each unit also has:
- A Washer & Dryer in the Bathroom
- A kitchenette fitted with a microwave and a kettle
- A fridge
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 10AM
Self check-in with keypad
Read all rules",$57
200,38936952,4 guests,1 bedroom,2 beds,1 bath,$62,$56,Show all 15 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.70380790736375&2d139.6869119172958&2m2&1d35.77939474374484&2d139.84296216014707&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._hf1sg5&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=124517,"Translate this description to English
Nearest station JR Yamanote Line ""Tabata"" station 8 minutes on foot Good access to Akihabara, Tokyo, Shinjuku, very convenient location for sightseeing in Tokyo ♪ From Tabata Station Ueno Station 4 minutes Akihabara Station 7 minutes Tokyo Station 11 minutes Asakusa Station 15 minutes Shinjuku Station 18 minutes Haneda Station 34 minutes Narita Station 74 minutes In addition to basic kitchen tools, refrigerators, hair dryers and other amenities are also available. Come and stay with your family and friends ☆
最寄駅JR山手線｢田端｣駅徒歩8分
秋葉原､東京､新宿へのｱｸｾｽが良く､東京観光をするのにとても便利な立地です♪
田端駅から､
上野駅4分
秋葉原駅7分
東京駅11分
浅草駅15分
新宿駅18分
羽田駅34分
成田駅74分
Read more about the space
Contact host","House rules
No smoking
No pets
Check-in is anytime after 4PM and check out by 10AM
Read all rules",$62
201,36510260,2 guests,1 bedroom,2 beds,1 bath,$37,$60,Show all 29 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.700110600760105&2d139.5769230932798&2m2&1d35.77569993404496&2d139.73297849102914&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._as783a&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=103638,"Translate this description to English
A new hotel 150 meters from the railway station, 2 minutes on foot. 19 minutes to Shinjuku Station, 22 minutes to Shibuya Station, 8 minutes to Ikebukuro Station, no transfers. The time to Narita Airport is 66 minutes and Haneda Airport is 58 minutes, depending on the route. If the plane arrives late, just take the last train or take a taxi. There is no problem with early flight. The hotel is run by a company and the staff is available 24 hours a day and offers a room key (not self-service). The hotel is located in Nerima-ku, Tokyo, where you can find the surrounding area, restaurants, shopping malls, etc., and you can see the QR on the figure. The hotel has 6 rooms, see QR on the figure please. Guests staying for more than 15 days with 2 people can use other facilities at a discounted price. Newly built ryokan, 150m long-range car, 2 minutes walk to Shinjuku, 19 minutes to Shinjuku, 22 minutes to Toyadani, 8 minutes to Ikebukuro, Miyazaki. Arrived at Narita Airport, 66 minutes bell, Arrived at Haneda Airport, 58 minutes bell. Aircraft arrived excessively.趕 清 (Website hidden by Airbnb) 不會 有 任何 任何 問題The second-ranked guest survivor surpassed 15 heavens.
鉄道駅から150ﾒｰﾄﾙの新しいﾎﾃﾙ､徒歩2分｡ 新宿駅まで19分､渋谷駅まで22分､池袋駅まで8分､乗り換えなし｡ 成田空港までの所時間は66分､羽田空港は58分ですが､路線によって異なります｡ 飛行機が遅れて到着した場合は､ちょうど最終電車に乗るか､ﾀｸｼｰに乗ります｡ 早朝のﾌﾗｲﾄに問題はありません｡ ﾎﾃﾙは企業が運営しており､ｽﾀｯﾌは24時間勤務で客室ｷｰ(ｾﾙﾌｻｰﾋﾞｽではない)を提供しています｡ ﾎﾃﾙは東京練馬区に位置し､周辺､ﾚｽﾄﾗﾝ､ｼｮｯﾋﾟﾝｸﾞﾓｰﾙなどを見つけることができ､図上のQRを見ることができます. ﾎﾃﾙには6室の客室があり､図上のQRを参照してください｡ 2名で15日以上滞在する場合は､割引価格で別の施設を利用できます｡
新建的旅館,距火車站150米,步行2分鐘; 到新宿站19分鐘,到澀谷站22分鐘,到池袋站8分鐘,都不轉車｡ 到成田機場最快66分鐘,到羽田機場最快58分鐘,但是根據路線而變化｡ 飛機到達過晚的,只要趕上末班列車即可,否則要坐計程車｡ 趕清晨航班的,不會有任何問題｡如為2位客人入住超過15天,另有一處設施,價格優惠｡
Read more about the space
Contact host","House rules
Not safe or suitable for infants (under 2 years) and pets - There is no elevator, only stairs.
No smoking, parties, or events
Check-in time is 3PM - 10PM and check out by 11AM
Read all rules",$72
202,37208471,3 guests,1 bedroom,1 bed,1 bath,$47,$68,Show all 17 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.698734780488735&2d139.6322848179732&2m2&1d35.77432636369879&2d139.7859064225613&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._brnf1e&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=31328,"Translate this description to English
★ The number of people can be in the same room. ★ Our public park in JR Yamanote Line Ikebukuro, Ikebukuro can be located on the street, ground, and other places, etc. From Ikebukuro west exit C6 exit walk 5 minutes. ★ Shanghai Park, Yu-tao, a large-scale store, 24-hour convenience store, etc. Free Wi-Fi provided by Yaya. 东東 是 一个 旅行 玩家 ､ 如果 您 订 到 我们 的 公寓 ､ 关于 你 的 东 出行 划 她 计划 她 也会 供给 一个 建议 , 希望 可以 帮助 助 您｡ It is conveniently located near Ikebukuro Station, one of the most representative stations in Tokyo, and it is easy to access other major stations! It is a rental apartment located 5 minutes on foot from Ikebukuro Station West Exit C6. Up to 3 people can stay. There are lots of restaurants, bars and large shopping malls around the station so you won't get bored. ◎ It is recommended for small groups such as couples, families, friends. Free Wi-Fi is also available. You
★人数多的也可以咨询房东噢,我们同一栋楼里目前有3套公寓｡
★我们的公寓位于JR山手线池袋站,池袋站可以坐电车､地铁､巴士等直达很多观光景点､奥特莱斯､机场,非常繁华｡ 从池袋站西口C6出口步行5分钟即可抵达我们的公寓,公寓最多可住3人｡
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 11AM
Read all rules",$80
203,30567212,2 guests,1 bedroom,1 bed,1 bath,$28,$54,Show all 23 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.664868605365555&2d139.61991038026622&2m2&1d35.740491787770914&2d139.77603566007087&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._xjdjif&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=71450,"We open new Japanese styles TATAMI rooms.
Our house is located in Center of Tokyo and it has a great access to all different parts of Tokyo. The nearest subway is just 2 minutes by walk. There are a lot of restaurants, convenience stores and even shopping malls.
This is entire rented house included private bathroom and kitchen.
Besides, portable wifi and TV are provided in your private room.
Please feel free to contact us and visit our house~!
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Read all rules",$66
